clip_id,scene,scale_tag,frame,offset,rot_err_deg,trans_err_m,trans_mag_pred_m,trans_mag_gt_m,trans_mag_ratio,trans_dir_err_deg
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,oracle,2,-2,0.420860003176641,0.29831476432102105,6.570928568193466,6.817427839749694,0.9638427751124861,1.4383492415723242
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,oracle,3,-1,0.6466162849297402,0.42333965513665833,2.9199093273883268,3.337208668739946,0.8749555743215836,1.3079472062428128
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,const,0,-4,0.5233419090482152,3.287497658093942,14.376941516935386,11.09870442626,1.2953711500703577,1.1184603629555057
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,const,1,-3,0.4649589605413106,2.731647123094784,10.756514935834982,8.02726449483978,1.3399975723672322,0.7054122994436387
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,const,2,-2,0.43020777760600915,1.7946717442433626,6.855309815137563,5.061992289277535,1.354271089993299,0.6779861208273815
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,const,3,-1,0.218973403385011,0.9409072224016584,3.5594346454667254,2.6193594801696567,1.3588950552278452,0.7423462809470552
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,oracle,0,-4,0.5233419090482152,0.41722520547587816,11.453161174638092,11.09870442626,1.0319367680014464,1.1184603629561574
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,oracle,1,-3,0.4649589605413106,0.5512806157628306,8.56900607771135,8.02726449483978,1.0674876956178312,0.7054122994436387
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,oracle,2,-2,0.43020777760600915,0.40400025922359556,5.461173235097457,5.061992289277535,1.0788584657992226,0.6779861208273815
scene-0627_CAM_FRONT_c8f0119b_5b3ffd92,scene-0627,oracle,3,-1,0.218973403385011,0.21907173262454938,2.8355668441093522,2.6193594801696567,1.0825420739598872,0.7423462809465643
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,const,0,-4,2.3879831998088052,1.23565646548545,11.968053977298597,10.758858415092478,1.112390693840702,1.2842970377027931
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,const,1,-3,1.8852809878178978,0.7326260805381545,8.729944447567192,8.031122222616311,1.087014268439713,1.5052624145539435
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,const,2,-2,1.5084620489533458,0.41868657325605646,5.9145084828930665,5.5774910906170865,1.0604245505372367,2.478464324852117
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,const,3,-1,0.907873950879091,0.33024244147286025,2.617829762784792,2.5824291881826693,1.0137082460050086,7.240189450597984
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,oracle,0,-4,2.3879831998088052,1.1194569837185244,11.84933202489299,10.758858415092478,1.1013558844004119,1.2842970377027931
scene-0627_CAM_FRONT_976b8171_3f5fd35a,scene-0627,oracle,1,-3,1.8852809878178978,0.6501724787169595,8.643344232429993,8.031122222616311,1.07623119071574,1.5052624145537015
