clip_id,block,anchor,s_oracle,s_oracle_anchor_only,s_oracle_voxel_centre,ok,n_valid_lidar_px,s_C0,s_C3,s_A,s_B,absrel_C0,absrel_C3,absrel_A,absrel_B,absrel_OR
2013_05_28_drive_0006_sync_007370,70,7370,20.85164579089905,21.025461996070334,21.28673464708317,1,97744,27.3665,27.62307999958758,19.577886705387684,20.37764576677316,0.3174583470712599,0.32964345122018146,0.07126198932084786,0.04632088047198906,0.04192514341429727
2013_05_28_drive_0006_sync_007375,70,7375,20.91469850663275,20.93659963556869,21.265240700791956,1,96834,27.3665,27.385618226833756,19.65683837455436,20.505186499618905,0.3130943503952423,0.3139959935103449,0.07455492788972173,0.04909668598621475,0.04611483773250013
2013_05_28_drive_0006_sync_007380,70,7380,20.995110021903837,21.434250078772244,22.23088997176798,1,95140,27.3665,27.447801779536405,20.366510169239902,21.127225406444705,0.29959398941394044,0.3033379126103119,0.05553820068106957,0.0474282227892044,0.0469685340485416
2013_05_28_drive_0006_sync_007385,70,7385,20.10696753597219,19.972183730723646,20.65503337269391,1,96914,27.3665,26.48624530289781,20.54633452088972,20.813619286930326,0.35947796715521385,0.31714240051966186,0.05637480386527108,0.06322346363980823,0.051198876629576666
2013_05_28_drive_0006_sync_007390,70,7390,20.283522205315972,20.625648783210885,21.44227607692683,1,97537,27.3665,27.302130320415777,20.58209740156646,20.73508348651961,0.3491692317319396,0.34610101611593797,0.05650583338880296,0.05882612156180682,0.05449973759039844
2013_05_28_drive_0006_sync_007395,71,7395,20.05533235526715,20.2285399938734,20.49204603956432,1,97436,27.3665,27.141163061288427,19.996178209459462,19.950397201178454,0.3733479630946797,0.36246425047827746,0.0547385217515836,0.05490497518065051,0.05467080713995244
2013_05_28_drive_0006_sync_007400,71,7400,20.303633278737404,20.312337812318646,20.477513407684476,1,97230,27.3665,27.34309011898574,20.485619166997616,20.16241084256979,0.3504573862331544,0.34935813752643563,0.05799872250747086,0.05785570737896186,0.057205320797263
2013_05_28_drive_0006_sync_007405,71,7405,21.161185378850007,21.861575670256595,22.407735948667394,1,99195,27.3665,27.810737581200577,21.026737542434525,20.583389282226562,0.30039998002733803,0.3204859194246878,0.06716300877722757,0.0732095124456231,0.06643692323944048
2013_05_28_drive_0006_sync_007410,71,7410,21.290687480051044,21.180855873707248,22.20574108235051,1,96057,27.3665,27.871000410438022,20.954729760599417,20.55305933747856,0.2918253324109358,0.31423513378917284,0.07123448625682696,0.08031880058585104,0.06772412048116538
2013_05_28_drive_0006_sync_007415,71,7415,21.892825491651845,23.257684970501405,23.970297479136487,1,91392,27.3665,28.532165134998703,21.064559788379853,20.30805961492703,0.2664394260750101,0.3161527307454701,0.09335755864284993,0.1147329619988721,0.08092958530648378
