clip_id,block,variant,s_c0,s_c3,a_clip,n_support_px,ok
2013_05_28_drive_0006_sync_001015,9,C0C3,27.3665,26.046447934458364,-0.0494382344186306,272353,1
2013_05_28_drive_0006_sync_001020,9,C0C3,27.3665,25.476295626304026,-0.07157120108604431,277661,1
2013_05_28_drive_0006_sync_001025,9,C0C3,27.3665,25.862678263834074,-0.05651870183646679,282154,1
2013_05_28_drive_0006_sync_001030,9,C0C3,27.3665,27.158514082572832,-0.007629046216607094,279885,1
2013_05_28_drive_0006_sync_001035,9,C0C3,27.3665,27.380870532238742,0.0005249761743471026,291737,1
2013_05_28_drive_0006_sync_001040,9,C0C3,27.3665,27.492437289883945,0.0045913215726614,296587,1
2013_05_28_drive_0006_sync_001045,9,C0C3,27.3665,27.344240502642737,-0.0008137158583849669,296785,1
2013_05_28_drive_0006_sync_001050,9,C0C3,27.3665,26.26867440331316,-0.04094249568879604,299162,1
2013_05_28_drive_0006_sync_001055,9,C0C3,27.3665,26.19917608723512,-0.04359167441725731,298681,1
2013_05_28_drive_0006_sync_001060,9,C0C3,27.3665,26.95999493856133,-0.014965539332479239,298834,1
2013_05_28_drive_0006_sync_001065,9,C0C3,27.3665,27.45261497214028,0.0031417888822034,289442,1
2013_05_28_drive_0006_sync_001070,9,C0C3,27.3665,28.192142076511654,0.029723651707172394,290939,1
2013_05_28_drive_0006_sync_001075,9,C0C3,27.3665,29.565954920686497,0.07730389013886452,288632,1
2013_05_28_drive_0006_sync_001080,9,C0C3,27.3665,29.69263568574296,0.08157942071557045,293518,1
2013_05_28_drive_0006_sync_001085,9,C0C3,27.3665,29.546243695153795,0.07663698121905327,284034,1
2013_05_28_drive_0006_sync_001090,9,C0C3,27.3665,29.64600321085565,0.08000767976045609,288938,1
2013_05_28_drive_0006_sync_001095,10,C0C3,27.3665,29.313145049296793,0.06871641427278519,292338,1
2013_05_28_drive_0006_sync_001100,10,C0C3,27.3665,29.090866892221285,0.061104634776711464,288240,1
2013_05_28_drive_0006_sync_001105,10,C0C3,27.3665,30.7181345837657,0.11553354561328888,284129,1
2013_05_28_drive_0006_sync_001110,10,C0C3,27.3665,30.786821407291555,0.117767084389925,288824,1
2013_05_28_drive_0006_sync_001115,10,C0C3,27.3665,30.897698699836003,0.12136206775903702,293193,1
2013_05_28_drive_0006_sync_001120,10,C0C3,27.3665,30.57722436297659,0.11093579232692719,297813,1
2013_05_28_drive_0006_sync_001125,10,C0C3,27.3665,31.435315790133185,0.13861232995986938,301941,1
2013_05_28_drive_0006_sync_001130,10,C0C3,27.3665,30.576000434867098,0.11089576408267021,304038,1
2013_05_28_drive_0006_sync_001135,10,C0C3,27.3665,30.184494778486112,0.09800873696804047,312025,1
2013_05_28_drive_0006_sync_001140,10,C0C3,27.3665,29.478398539330513,0.07433810457587242,314630,1
2013_05_28_drive_0006_sync_001145,10,C0C3,27.3665,29.425516999553565,0.07254258543252945,307653,1
2013_05_28_drive_0006_sync_001150,10,C0C3,27.3665,28.408203705891403,0.03735832870006561,297948,1
2013_05_28_drive_0006_sync_001155,10,C0C3,27.3665,28.462480371326063,0.039267104119062424,288676,1
2013_05_28_drive_0006_sync_001160,10,C0C3,27.3665,28.357649661033474,0.035577185451984406,282995,1
2013_05_28_drive_0006_sync_001165,10,C0C3,27.3665,27.265462745911382,-0.0036988372448831797,287854,1
2013_05_28_drive_0006_sync_001170,10,C0C3,27.3665,26.445969344022547,-0.03421587869524956,284091,1
2013_05_28_drive_0006_sync_001175,10,C0C3,27.3665,25.925494110918926,-0.05409282445907593,299697,1
2013_05_28_drive_0006_sync_001180,10,C0C3,27.3665,25.814138085463984,-0.058397307991981506,308669,1
2013_05_28_drive_0006_sync_001185,10,C0C3,27.3665,25.91639989929975,-0.05444366857409477,307511,1
2013_05_28_drive_0006_sync_001190,10,C0C3,27.3665,25.20652324006835,-0.08221681788563728,298478,1
